ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716565,134,E,SAN RAFAEL,Pasadena,Los Angeles,On Ramp,1,,4202,12.45,R12.45,34.1439145,-118.16855,True
716567,134,E,ORANGE GROVE,Pasadena,Los Angeles,On Ramp,1,,4203,13.18,R13.18,34.1483687,-118.1574208,True
717594,134,E,FIGUEROA,Los Angeles,Los Angeles,Off Ramp,1,,4201,11.52,R11.52,34.1433056,-118.1869739,True
717595,134,E,FIGUEROA,Los Angeles,Los Angeles,Mainline,4,0.49,4201,11.52,R11.52,34.1422524,-118.1845867,True
717600,134,E,SAN RAFAEL,Pasadena,Los Angeles,Off Ramp,1,,4202,12.45,R12.45,34.1424783,-118.1724781,True
717601,134,E,SAN RAFAEL,Pasadena,Los Angeles,Mainline,4,0.77,4202,12.45,R12.45,34.1438191,-118.1693118,True
717605,134,E,ORANGE GROVE,Pasadena,Los Angeles,Off Ramp,1,,4203,13.18,R13.18,34.1458704,-118.1631393,True
717606,134,E,ORANGE GROVE,Pasadena,Los Angeles,Mainline,4,0.526,4203,13.18,R13.18,34.1480846,-118.1582215,True
717607,134,E,ORANGE GROVE,Pasadena,Los Angeles,HOV,1,0.526,4203,13.18,R13.18,34.1481334,-118.1582684,True
763606,134,E,FIGUEROA,Los Angeles,Los Angeles,HOV,1,0.49,4201,11.52,R11.52,34.1423278,-118.1845505,True
763608,134,E,SAN RAFAEL,Pasadena,Los Angeles,HOV,1,0.77,4202,12.45,R12.45,34.1438968,-118.1693654,True
770172,134,E,EB 134 TO DEL MAR,Pasadena,Los Angeles,Fwy-Fwy,1,,4335,13.34,R13.34,34.1472876,-118.1588428,True
774031,134,E,COLORADO,Los Angeles,Los Angeles,Mainline,4,0.465,4200,11.64,R11.64,34.1416939,-118.1830591,True
774033,134,E,COLORADO,Los Angeles,Los Angeles,HOV,1,0.465,4200,11.64,R11.64,34.1417472,-118.183035,True
774035,134,E,COLORADO,Los Angeles,Los Angeles,On Ramp,1,,4200,11.64,R11.64,34.1409947,-118.1854195,True
