ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716544,134,W,ALAMEDA SB,Los Angeles,Los Angeles,On Ramp,1,,3495,1.9,1.9,34.154195,-118.343722,False
716545,134,W,BUENA VISTA,Burbank,Los Angeles,On Ramp,1,,3496,2.86,2.86,34.153625,-118.327063,False
716547,134,W,FOREST LAWN,Los Angeles,Los Angeles,On Ramp,1,,3497,3.75,3.75,34.154816,-118.311893,False
716550,134,W,RIVERSIDE,Los Angeles,Los Angeles,On Ramp,1,,3498,4.69,4.69,34.15564,-118.29597,False
716551,134,W,SAN FERNANDO,Glendale,Los Angeles,Mainline,4,0.556,3111,5.983,R6,34.154235,-118.274159,False
716554,134,W,PACIFIC,Glendale,Los Angeles,Mainline,4,0.355,3112,6.503,R6.52,34.156198,-118.265345,False
716555,134,W,CENTRAL,Glendale,Los Angeles,On Ramp,1,,3113,6.693,R6.71,34.156458,-118.262159,False
716557,134,W,GLENDALE 1,Glendale,Los Angeles,On Ramp,1,,4215,7.673,R7.69,34.156447,-118.245195,False
716560,134,W,HARVEY,Glendale,Los Angeles,On Ramp,1,,4213,8.743,R8.76,34.148123,-118.229499,False
716562,134,W,FIGUEROA,Los Angeles,Los Angeles,On Ramp,1,,4211,11.473,R11.49,34.1430643,-118.1854194,True
716564,134,W,SAN RAFAEL,Pasadena,Los Angeles,On Ramp,1,,4210,12.253,R12.27,34.1427542,-118.1729618,True
717099,134,W,GLENDALE 1,Glendale,Los Angeles,Mainline,4,0.855,4215,7.673,R7.69,34.156447,-118.245195,False
717571,134,W,CAHUENGA,Los Angeles,Los Angeles,Mainline,4,0.76,3107,0.95,.95,34.153255,-118.359896,False
717572,134,W,BUENA VISTA,Burbank,Los Angeles,Mainline,4,0.74,3496,2.86,2.86,34.153625,-118.327063,False
717576,134,W,RIVERSIDE,Los Angeles,Los Angeles,Mainline,4,0.525,3498,4.69,4.69,34.15564,-118.29597,False
717581,134,W,CENTRAL,Glendale,Los Angeles,Off Ramp,1,,3113,6.693,R6.71,34.156458,-118.262159,False
717582,134,W,CENTRAL,Glendale,Los Angeles,Mainline,4,0.585,3113,6.693,R6.71,34.156458,-118.262159,False
717589,134,W,HARVEY,Glendale,Los Angeles,Off Ramp,1,,4213,8.743,R8.76,34.148123,-118.229499,False
717590,134,W,HARVEY,Glendale,Los Angeles,Mainline,4,0.405,4213,8.743,R8.76,34.148123,-118.229499,False
717596,134,W,FIGUEROA,Los Angeles,Los Angeles,Off Ramp,1,,4211,11.473,R11.49,34.1434569,-118.1846551,True
717597,134,W,FIGUEROA,Los Angeles,Los Angeles,Mainline,4,0.49,4211,11.473,R11.49,34.1425312,-118.184639,True
717598,134,W,SAN RAFAEL,Pasadena,Los Angeles,Off Ramp,1,,4210,12.253,R12.27,34.1442093,-118.1694589,True
717599,134,W,SAN RAFAEL,Pasadena,Los Angeles,Mainline,4,0.57,4210,12.253,R12.27,34.1430638,-118.1717696,True
717603,134,W,ORANGE GROVE,Pasadena,Los Angeles,Mainline,5,0.833,4209,12.763,R12.78,34.1463371,-118.1632376,True
